DATE,Export_Price_Index_of_Gold
01-01-2001,97
01-02-2001,94.8
01-03-2001,93.7
01-04-2001,93.9
01-05-2001,93.1
01-06-2001,97.2
01-07-2001,94.7
01-08-2001,94.4
01-09-2001,95.9
01-10-2001,99.8
01-11-2001,99.5
01-12-2001,97.4
01-01-2002,97.2
01-02-2002,99
01-03-2002,104
01-04-2002,103.6
01-05-2002,106.8
01-06-2002,110.8
01-07-2002,113.3
01-08-2002,110.6
01-09-2002,109.5
01-10-2002,112.5
01-11-2002,111.6
01-12-2002,112.4
01-01-2003,117
01-02-2003,126.4
01-03-2003,127.2
01-04-2003,119.4
01-05-2003,115.1
01-06-2003,124.5
01-07-2003,124.8
01-08-2003,122.9
01-09-2003,126
01-10-2003,133
01-11-2003,133
01-12-2003,136.5
01-01-2004,142.9
01-02-2004,144.7
01-03-2004,141.4
01-04-2004,142.6
01-05-2004,140.9
01-06-2004,134.8
01-07-2004,137.8
01-08-2004,139.5
01-09-2004,140.5
01-10-2004,142.2
01-11-2004,147.6
01-12-2004,153.7
01-01-2005,154.6
01-02-2005,148.7
01-03-2005,148.3
01-04-2005,151.7
01-05-2005,150.4
01-06-2005,148
01-07-2005,150.9
01-08-2005,148.9
01-09-2005,153.6
01-10-2005,160.3
01-11-2005,164.5
01-12-2005,167.1
01-01-2006,178.5
01-02-2006,191.9
01-03-2006,193.5
01-04-2006,195.4
01-05-2006,214.7
01-06-2006,234.7
01-07-2006,209.1
01-08-2006,222.1
01-09-2006,221
01-10-2006,207.8
01-11-2006,205.2
01-12-2006,219.2
01-01-2007,219.9
01-02-2007,220.7
01-03-2007,231.6
01-04-2007,228.7
01-05-2007,236.6
01-06-2007,232.9
01-07-2007,228.6
01-08-2007,232.3
01-09-2007,232.7
01-10-2007,250.2
01-11-2007,265
01-12-2007,280.4
01-01-2008,281.5
01-02-2008,311.5
01-03-2008,322.8
01-04-2008,334.5
01-05-2008,316.4
01-06-2008,309.5
01-07-2008,311
01-08-2008,327.3
01-09-2008,292
01-10-2008,291.3
01-11-2008,280
01-12-2008,265
01-01-2009,285.4
01-02-2009,301.1
01-03-2009,329.4
01-04-2009,322.5
01-05-2009,311.1
01-06-2009,324.5
01-07-2009,330.1
01-08-2009,326.4
01-09-2009,331.7
01-10-2009,348.1
01-11-2009,364.3
01-12-2009,392.3
01-01-2010,394.8
01-02-2010,390.1
01-03-2010,382.4
01-04-2010,388.5
01-05-2010,400.6
01-06-2010,420.5
01-07-2010,430.1
01-08-2010,415.8
01-09-2010,424.5
01-10-2010,444.4
01-11-2010,468.9
01-12-2010,478.3
01-01-2011,485.5
01-02-2011,473.5
01-03-2011,479.4
01-04-2011,497
01-05-2011,516.2
01-06-2011,527.3
01-07-2011,532.2
01-08-2011,551.2
01-09-2011,614.4
01-10-2011,613.1
01-11-2011,581.8
01-12-2011,607.7
